№ п.п.,01.09.23,01.09.23,08.09.23,08.09.23,15.09.23,15.09.23,22.09.23,22.09.23,29.09.23,29.09.23,06.10.23,06.10.23,16.10.23,16.10.23,20.10.23,20.10.23,27.10.23,27.10.23,03.11.23,03.11.23,10.11.23,10.11.23,17.11.23,17.11.23,24.11.23,24.11.23,01.12.23,01.12.23,08.12.23,08.12.23,15.12.23,15.12.23,22.12.23,29.12.23,Лаб 1,Лаб 1,Лаб 2,Лаб 2,Лаб 3,Лаб 3,Лаб 4,Лаб 4,Лаб 5,Лаб 5,Лаб 6,Лаб 6,Лаб 7,Лаб 7,Лаб 8,Лаб 8,Лаб 9,Лаб 9,Лаб 10,Лаб 10,ИТОГО,Проект,Проект
,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,,,
1,,,,,,,н,н,,,,,,,н,н,н,н,,,н,н,,,,,н,н,н,н,н,,,,29.09.23,10,13.10.23,5,20.10.23,5,03.11.23,5,03.11.23,5,17.11.23,5,17.11..23,5,24.11.23,5,,,,,45,Муха и слон,
2,,,н,н,н,н,н,н,н,н,,,н,н,н,н,н,н,н,н,н,н,н,н,,,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,0,,
3,,,н,н,,,н,н,,,,,,,н,н,н,н,н,н,,,,,,,,,,,н,,,,06.10.23,10,13.10.23,5,27.10.23,3,,,,,17.11.23,5,24.11.23,5,,,01.12.23,5,08.12.23,5,38,Числи ПИ,
4,,,,,,,,,,,,,н,н,н,н,н,н,,,н,,н,н,н,н,н,н,,,н,,,,29.09.23,10,06.10.23,5,03.11.23,3,03.11.23,5,24.11.23,5,15.12.23,3,15.12.23,3,15.12.23,3,08.12.23,5,15.12.23,3,60,ДНК,15
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,н,,,,29.09.23,10,06.10.23,5,13.10.23,5,13.10.23,5,20.10.23,5,03.11.23,5,03.11.23,5,10.11.23,5,,,,,60,От города N к городу M,15
6,,,,,,,,,,,,,,,,,н,н,,,,,,,,,,,,,,,,,29.09.23,10,06.10.23,5,20.10.23,5,03.11.23,5,03.11.23,5,17.11.23,5,24.11.23,5,08.12.23,5,,,,,45,Шифр Цезаря,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,н,н,,,,,29.09.23,10,13.10.23,5,20.10.23,5,27.10.23,5,03.11.23,5,10.11.23,5,17.11..23,5,01.12.23,3,01.12.23,5,,,63,Польская нотация,15
8,,,,,,,н,н,,,,,,,,,,н,н,н,,,,,,,,,,,,,,,29.09.23,10,20.10.23,3,27.10.23,3,03.11.23,3,03.11.23,5,17.11.23,5,24.11.23,5,15.12.23,3,08.12.23,5,15.12.23,3,60,ДНК,15
9,,,,,,,,,,,,,,,,,н,,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,20.10.23,5,27.10.23,5,03.11.23,5,10.11.23,5,17.11..23,5,24.11.23,5,01.12.23,5,,,65,Польская нотация,15
10,,,,,,,,,,,,,,,н,н,,,,,,,,,,,,,,,,,,,,,,,27.10.23,3,03.11.23,3,10.11.23,3,,,,,,,01.12.23,5,,,14,Чисор Эйлера,
11,,,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,0,,
12,,,,,,,,,,,,,,,,,н,н,н,н,,,,,н,н,,,,,н,,,,29.09.23,10,13.10.23,5,20.10.23,5,03.11.23,3,03.11.23,5,10.11.23,5,17.11..23,5,,,01.12.23,5,08.12.23,5,48,Число ПИ,
13,,,,,,,,,,,,,,,,,,н,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,20.10.23,5,27.10.23,5,27.10.23,5,17.11.23,5,17.11.23,5,,,01.12.23,5,08.12.23,5,50,Муха и слон,
14,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,0,,
15,,,,,,,,,,,н,,,,,,н,н,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,,,27.10.23,5,10.11.23,3,17.11.23,5,,,,,01.12.23,5,08.12.23,5,38,Шифр Цезаря,
16,,,н,н,н,н,н,н,,,н,,н,н,н,н,н,н,,,н,н,,,н,н,н,н,н,н,н,,,,29.09.23,10,,,,,,,,,,,,,,,,,,,10,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.09.23,10,06.10.23,5,13.10.23,5,13.10.23,5,20.10.23,5,10.11.23,5,17.11..23,5,24.11.23,5,,,,,60,,15
